timestamp_utc,unix_ts,outcome,price
2026-07-29T11:02:35+00:00,1785322955,Arnold Allen,0.5056
2026-07-29T12:02:35+00:00,1785326555,Arnold Allen,0.4866
2026-07-29T13:02:35+00:00,1785330155,Arnold Allen,0.4776
2026-07-29T14:02:35+00:00,1785333755,Arnold Allen,0.4665
2026-07-29T15:02:35+00:00,1785337355,Arnold Allen,0.476
2026-07-29T16:02:35+00:00,1785340955,Arnold Allen,0.483
2026-07-29T17:02:35+00:00,1785344555,Arnold Allen,0.4987
2026-07-29T18:02:35+00:00,1785348155,Arnold Allen,0.4822
2026-07-29T19:02:35+00:00,1785351755,Arnold Allen,0.4791
2026-07-29T20:02:35+00:00,1785355355,Arnold Allen,0.4603
2026-07-29T21:02:35+00:00,1785358955,Arnold Allen,0.449
2026-07-29T22:02:35+00:00,1785362555,Arnold Allen,0.4492
2026-07-29T23:02:35+00:00,1785366155,Arnold Allen,0.4303
2026-07-30T00:02:35+00:00,1785369755,Arnold Allen,0.4182
2026-07-30T01:02:35+00:00,1785373355,Arnold Allen,0.4242
2026-07-30T02:02:35+00:00,1785376955,Arnold Allen,0.426
2026-07-30T03:02:35+00:00,1785380555,Arnold Allen,0.4149
2026-07-30T04:02:35+00:00,1785384155,Arnold Allen,0.4184
2026-07-30T05:02:35+00:00,1785387755,Arnold Allen,0.4308
2026-07-30T06:02:35+00:00,1785391355,Arnold Allen,0.4111
2026-07-30T07:02:35+00:00,1785394955,Arnold Allen,0.4233
2026-07-30T08:02:35+00:00,1785398555,Arnold Allen,0.4312
2026-07-30T09:02:35+00:00,1785402155,Arnold Allen,0.4248
2026-07-30T10:02:35+00:00,1785405755,Arnold Allen,0.411
2026-07-30T11:02:35+00:00,1785409355,Arnold Allen,0.4293
2026-07-30T12:02:35+00:00,1785412955,Arnold Allen,0.4228
2026-07-30T13:02:35+00:00,1785416555,Arnold Allen,0.4065
2026-07-30T14:02:35+00:00,1785420155,Arnold Allen,0.3904
2026-07-30T15:02:35+00:00,1785423755,Arnold Allen,0.4043
2026-07-30T16:02:35+00:00,1785427355,Arnold Allen,0.4084
2026-07-30T17:02:35+00:00,1785430955,Arnold Allen,0.4207
2026-07-30T18:02:35+00:00,1785434555,Arnold Allen,0.4299
2026-07-30T19:02:35+00:00,1785438155,Arnold Allen,0.4314
2026-07-30T20:02:35+00:00,1785441755,Arnold Allen,0.4503
2026-07-30T21:02:35+00:00,1785445355,Arnold Allen,0.4454
2026-07-30T22:02:35+00:00,1785448955,Arnold Allen,0.4475
2026-07-30T23:02:35+00:00,1785452555,Arnold Allen,0.4607
2026-07-31T00:02:35+00:00,1785456155,Arnold Allen,0.4654
2026-07-31T01:02:35+00:00,1785459755,Arnold Allen,0.4799
2026-07-31T02:02:35+00:00,1785463355,Arnold Allen,0.483
2026-07-31T03:02:35+00:00,1785466955,Arnold Allen,0.4912
2026-07-31T04:02:35+00:00,1785470555,Arnold Allen,0.473
2026-07-31T05:02:35+00:00,1785474155,Arnold Allen,0.4621
2026-07-31T06:02:35+00:00,1785477755,Arnold Allen,0.4537
2026-07-31T07:02:35+00:00,1785481355,Arnold Allen,0.4369
2026-07-31T08:02:35+00:00,1785484955,Arnold Allen,0.4262
2026-07-31T09:02:35+00:00,1785488555,Arnold Allen,0.4102
2026-07-31T10:02:35+00:00,1785492155,Arnold Allen,0.4013
2026-07-31T11:02:35+00:00,1785495755,Arnold Allen,0.4068
2026-07-31T12:02:35+00:00,1785499355,Arnold Allen,0.4014
2026-07-31T13:02:35+00:00,1785502955,Arnold Allen,0.3962
2026-07-31T14:02:35+00:00,1785506555,Arnold Allen,0.3846
2026-07-31T15:02:35+00:00,1785510155,Arnold Allen,0.3752
2026-07-31T16:02:35+00:00,1785513755,Arnold Allen,0.3927
2026-07-31T17:02:35+00:00,1785517355,Arnold Allen,0.3986
2026-07-31T18:02:35+00:00,1785520955,Arnold Allen,0.403
2026-07-31T19:02:35+00:00,1785524555,Arnold Allen,0.3898
2026-07-31T20:02:35+00:00,1785528155,Arnold Allen,0.399
2026-07-31T21:02:35+00:00,1785531755,Arnold Allen,0.3855
2026-07-31T22:02:35+00:00,1785535355,Arnold Allen,0.3807
2026-07-31T23:02:35+00:00,1785538955,Arnold Allen,0.4003
2026-08-01T00:02:35+00:00,1785542555,Arnold Allen,0.4059
2026-08-01T01:02:35+00:00,1785546155,Arnold Allen,0.4082
2026-08-01T02:02:35+00:00,1785549755,Arnold Allen,0.4156
2026-08-01T03:02:35+00:00,1785553355,Arnold Allen,0.4293
2026-08-01T04:02:35+00:00,1785556955,Arnold Allen,0.4403
2026-08-01T05:02:35+00:00,1785560555,Arnold Allen,0.4295
2026-08-01T06:02:35+00:00,1785564155,Arnold Allen,0.4108
2026-08-01T07:02:35+00:00,1785567755,Arnold Allen,0.4034
2026-08-01T08:02:35+00:00,1785571355,Arnold Allen,0.3941
2026-08-01T09:02:35+00:00,1785574955,Arnold Allen,0.3825
2026-08-01T10:02:35+00:00,1785578555,Arnold Allen,0.4002
2026-08-01T11:02:35+00:00,1785582155,Arnold Allen,0.4153
2026-08-01T12:02:35+00:00,1785585755,Arnold Allen,0.4079
2026-08-01T13:02:35+00:00,1785589355,Arnold Allen,0.4141
2026-08-01T14:02:35+00:00,1785592955,Arnold Allen,0.4099
2026-08-01T15:02:35+00:00,1785596555,Arnold Allen,0.4265
2026-08-01T16:02:35+00:00,1785600155,Arnold Allen,0.4249
2026-08-01T17:02:35+00:00,1785603755,Arnold Allen,0.4155
2026-08-01T18:02:35+00:00,1785607355,Arnold Allen,0.4053
2026-08-01T19:02:35+00:00,1785610955,Arnold Allen,0.4078
2026-08-01T20:02:35+00:00,1785614555,Arnold Allen,0.3983
2026-08-01T21:02:35+00:00,1785618155,Arnold Allen,0.4017
2026-08-01T22:02:35+00:00,1785621755,Arnold Allen,0.4176
2026-08-01T23:02:35+00:00,1785625355,Arnold Allen,0.4136
2026-08-02T00:02:35+00:00,1785628955,Arnold Allen,0.4023
2026-08-02T01:02:35+00:00,1785632555,Arnold Allen,0.4222
2026-08-02T02:02:35+00:00,1785636155,Arnold Allen,0.4226
2026-08-02T03:02:35+00:00,1785639755,Arnold Allen,0.4062
2026-08-02T04:02:35+00:00,1785643355,Arnold Allen,0.3881
2026-08-02T05:02:35+00:00,1785646955,Arnold Allen,0.3725
2026-08-02T06:02:35+00:00,1785650555,Arnold Allen,0.3776
2026-08-02T07:02:35+00:00,1785654155,Arnold Allen,0.3893
2026-08-02T08:02:35+00:00,1785657755,Arnold Allen,0.3862
2026-08-02T09:02:35+00:00,1785661355,Arnold Allen,0.3687
2026-08-02T10:02:35+00:00,1785664955,Arnold Allen,0.364
2026-08-02T11:02:35+00:00,1785668555,Arnold Allen,0.3838
2026-08-02T12:02:35+00:00,1785672155,Arnold Allen,0.385
2026-08-02T13:02:35+00:00,1785675755,Arnold Allen,0.4038
2026-08-02T14:02:35+00:00,1785679355,Arnold Allen,0.4183
2026-08-02T15:02:35+00:00,1785682955,Arnold Allen,0.3987
2026-08-02T16:02:35+00:00,1785686555,Arnold Allen,0.4076
2026-08-02T17:02:35+00:00,1785690155,Arnold Allen,0.4148
2026-08-02T18:02:35+00:00,1785693755,Arnold Allen,0.4163
2026-08-02T19:02:35+00:00,1785697355,Arnold Allen,0.407
2026-08-02T20:02:35+00:00,1785700955,Arnold Allen,0.4126
2026-08-02T21:02:35+00:00,1785704555,Arnold Allen,0.3971
2026-08-02T22:02:35+00:00,1785708155,Arnold Allen,0.3945
2026-08-02T23:02:35+00:00,1785711755,Arnold Allen,0.3926
2026-08-03T00:02:35+00:00,1785715355,Arnold Allen,0.4108
2026-08-03T01:02:35+00:00,1785718955,Arnold Allen,0.4258
2026-08-03T02:02:35+00:00,1785722555,Arnold Allen,0.4163
2026-08-03T03:02:35+00:00,1785726155,Arnold Allen,0.4164
